countrycode;countryname;year;GDP(current $USD)
ARE;United Arab Emirates;1999;84445473110.9598
ARG;Argentina;1999;283523000000.0
AUS;Australia;1999;389389647825.542
BRA;Brazil;1999;599642075029.835
CAN;Canada;1999;678412196271.118
CHE;Switzerland;1999;297873643323.126
CHN;China;1999;1093997267271.06
DEU;Germany;1999;2194945278872.59
EGY;Egypt, Arab Rep;1999;90710704806.8416
ESP;Spain;1999;634907542858.302
FRA;France;1999;1493151737698.46
GBR;United Kingdom;1999;1689289758938.68
IDN;Indonesia;1999;140001351215.462
IND;India;1999;458820417337.807
IRN;Iran, Islamic Rep;1999;113848450088.351
ITA;Italy;1999;1252446659833.79
JPN;Japan;1999;4635982224063.88
KOR;Korea, Rep;1999;497512659612.052
MEX;Mexico;1999;600232874042.927
MYS;Malaysia;1999;79148421052.6316
NLD;Netherlands;1999;447049523049.808
PHL;Philippines;1999;85640133799.7902
RUS;Russian Federation;1999;195907128350.934
SAU;Saudi Arabia;1999;161716960000.0
SGP;Singapore;1999;86284660766.9617
THA;Thailand;1999;126669064386.717
TUR;Turkey;1999;256385525071.633
USA;United States;1999;9631174489000.0
VNM;Vietnam;1999;28683659006.7752
ZAF;South Africa;1999;151516560274.982
ARE;United Arab Emirates;2000;104337372362.151
ARG;Argentina;2000;284203750000.0
AUS;Australia;2000;415851284305.721
BRA;Brazil;2000;655448188237.371
CAN;Canada;2000;744773415931.587
CHE;Switzerland;2000;279216033870.204
CHN;China;2000;1211346869605.24
DEU;Germany;2000;1947981991011.77
EGY;Egypt, Arab Rep;2000;99838543960.07628
ESP;Spain;2000;598363313494.903
FRA;France;2000;1365639660792.16
GBR;United Kingdom;2000;1666126494174.61
IDN;Indonesia;2000;165021012077.81
IND;India;2000;468394937262.37
IRN;Iran, Islamic Rep;2000;109591707802.216
ITA;Italy;2000;1146676894209.73
JPN;Japan;2000;4968359075956.59
KOR;Korea, Rep;2000;576178114168.494
MEX;Mexico;2000;707906744574.644
MYS;Malaysia;2000;93789736842.1053
NLD;Netherlands;2000;417479337444.707
PHL;Philippines;2000;83669693589.1547
RUS;Russian Federation;2000;259710142196.943
SAU;Saudi Arabia;2000;189514926213.333
SGP;Singapore;2000;96074477958.23668
THA;Thailand;2000;126392233706.79
TUR;Turkey;2000;274302959053.103
USA;United States;2000;10250947997000.0
VNM;Vietnam;2000;31172518403.3162
ZAF;South Africa;2000;151753369491.916
ARE;United Arab Emirates;2001;103311640571.818
ARG;Argentina;2001;268696750000.0
AUS;Australia;2001;379358162498.658
BRA;Brazil;2001;559991261406.197
CAN;Canada;2001;738981792355.372
CHE;Switzerland;2001;286582672434.226
CHN;China;2001;1339395718865.3
DEU;Germany;2001;1945790973803.15
EGY;Egypt, Arab Rep;2001;96684636118.5984
ESP;Spain;2001;627830029412.205
FRA;France;2001;1377657339291.34
GBR;United Kingdom;2001;1648658413703.76
IDN;Indonesia;2001;160446947784.909
IND;India;2001;485441014538.638
IRN;Iran, Islamic Rep;2001;126878750295.944
ITA;Italy;2001;1168023426056.38
JPN;Japan;2001;4374711694090.87
KOR;Korea, Rep;2001;547658231279.87
MEX;Mexico;2001;756706300589.791
MYS;Malaysia;2001;92783947368.4211
NLD;Netherlands;2001;431586852369.686
PHL;Philippines;2001;78921234457.5487
RUS;Russian Federation;2001;306602070620.5
SAU;Saudi Arabia;2001;184137469733.333
SGP;Singapore;2001;89794943349.8912
THA;Thailand;2001;120296476180.402
TUR;Turkey;2001;201751148417.102
USA;United States;2001;10581929774000.0
VNM;Vietnam;2001;32685198735.3053
ZAF;South Africa;2001;135429607036.658
ARE;United Arab Emirates;2002;109816201497.617
ARG;Argentina;2002;97724004251.8602
AUS;Australia;2002;395580786940.142
BRA;Brazil;2002;509788814956.855
CAN;Canada;2002;760649334098.005
CHE;Switzerland;2002;309301422430.386
CHN;China;2002;1470550015081.55
DEU;Germany;2002;2078484517474.51
EGY;Egypt, Arab Rep;2002;85146067415.7303
ESP;Spain;2002;708756677088.629
FRA;France;2002;1501409382971.38
GBR;United Kingdom;2002;1785843824940.05
IDN;Indonesia;2002;195660611165.183
IND;India;2002;514937948870.08
IRN;Iran, Islamic Rep;2002;128626917503.72
ITA;Italy;2002;1276769338449.3
JPN;Japan;2002;4182846045873.61
KOR;Korea, Rep;2002;627246081417.004
MEX;Mexico;2002;772106378935.377
MYS;Malaysia;2002;100845526315.789
NLD;Netherlands;2002;473861980070.981
PHL;Philippines;2002;84307291973.8158
RUS;Russian Federation;2002;345470494417.863
SAU;Saudi Arabia;2002;189605920240.0
SGP;Singapore;2002;92537752708.58928
THA;Thailand;2002;134300851255.002
TUR;Turkey;2002;240253216295.117
USA;United States;2002;10929112955000.0
VNM;Vietnam;2002;35064105500.8344
ZAF;South Africa;2002;129088132201.846
ARE;United Arab Emirates;2003;124346358066.712
ARG;Argentina;2003;127586973492.177
AUS;Australia;2003;467497961560.862
BRA;Brazil;2003;558229210852.965
CAN;Canada;2003;895540646634.787
CHE;Switzerland;2003;362075086507.76
CHN;China;2003;1660287965662.68
DEU;Germany;2003;2501640388482.35
EGY;Egypt, Arab Rep;2003;80288461538.4615
ESP;Spain;2003;907491523174.116
FRA;France;2003;1844544792036.86
GBR;United Kingdom;2003;2056612244897.96
IDN;Indonesia;2003;234772463823.808
IND;India;2003;607699285433.872
IRN;Iran, Islamic Rep;2003;153544751395.43
ITA;Italy;2003;1577621707050.51
JPN;Japan;2003;4519561645253.53
KOR;Korea, Rep;2003;702717332012.991
MEX;Mexico;2003;729336319677.449
MYS;Malaysia;2003;110202368421.053
NLD;Netherlands;2003;580070360701.96
PHL;Philippines;2003;87039145965.2826
RUS;Russian Federation;2003;430347770731.787
SAU;Saudi Arabia;2003;215807655253.333
SGP;Singapore;2003;97645448283.7791
THA;Thailand;2003;152280677649.055
TUR;Turkey;2003;314592428076.487
USA;United States;2003;11456442041000.0
VNM;Vietnam;2003;39552513316.0734
ZAF;South Africa;2003;197020241490.079
ARE;United Arab Emirates;2004;147824370319.946
ARG;Argentina;2004;164657930452.787
AUS;Australia;2004;614326362213.686
BRA;Brazil;2004;669293772178.729
CAN;Canada;2004;1026690238278.25
CHE;Switzerland;2004;403912891033.374
CHN;China;2004;1955347004963.27
DEU;Germany;2004;2814353869359.08
EGY;Egypt, Arab Rep;2004;78782467532.4675
ESP;Spain;2004;1069055675273.75
FRA;France;2004;2119633181634.37
GBR;United Kingdom;2004;2422958623214.94
IDN;Indonesia;2004;256836875295.452
IND;India;2004;709148514804.659
IRN;Iran, Islamic Rep;2004;190043433964.841
ITA;Italy;2004;1806542968545.56
JPN;Japan;2004;4893116005656.56
KOR;Korea, Rep;2004;793175007858.066
MEX;Mexico;2004;782240601984.76
MYS;Malaysia;2004;124749473684.211
NLD;Netherlands;2004;658380081545.175
PHL;Philippines;2004;95002028504.6904
RUS;Russian Federation;2004;591016690742.798
SAU;Saudi Arabia;2004;258742263040.0
SGP;Singapore;2004;115035498757.543
THA;Thailand;2004;172895749632.046
TUR;Turkey;2004;408876042651.701
USA;United States;2004;12217193198000.0
VNM;Vietnam;2004;45427854693.2554
ZAF;South Africa;2004;255806631391.551
ARE;United Arab Emirates;2005;180617467964.602
ARG;Argentina;2005;198737095012.282
AUS;Australia;2005;695328522026.763
BRA;Brazil;2005;891630177209.99
CAN;Canada;2005;1173108598778.68
CHE;Switzerland;2005;418284865884.998
CHN;China;2005;2285965892360.54
DEU;Germany;2005;2846864211175.1
EGY;Egypt, Arab Rep;2005;89600665557.4043
ESP;Spain;2005;1153715822717.51
FRA;France;2005;2196945232435.8
GBR;United Kingdom;2005;2544805454545.45
IDN;Indonesia;2005;285868618224.017
IND;India;2005;820381595512.902
IRN;Iran, Islamic Rep;2005;226452138291.542
ITA;Italy;2005;1858217147203.73
JPN;Japan;2005;4831467035389.8
KOR;Korea, Rep;2005;934901071332.984
MEX;Mexico;2005;877476221382.101
MYS;Malaysia;2005;143534102611.497
NLD;Netherlands;2005;685348181515.953
PHL;Philippines;2005;107419961717.693
RUS;Russian Federation;2005;764017107992.391
SAU;Saudi Arabia;2005;328459700114.755
SGP;Singapore;2005;127807618360.971
THA;Thailand;2005;189318549680.384
TUR;Turkey;2005;506308311476.63
USA;United States;2005;13039199193000.0
VNM;Vietnam;2005;57633255618.2731
ZAF;South Africa;2005;288868489078.987
ARE;United Arab Emirates;2006;222116541865.214
ARG;Argentina;2006;232557260817.308
AUS;Australia;2006;747906558849.955
BRA;Brazil;2006;1107640289661.2
CAN;Canada;2006;1319264809590.97
CHE;Switzerland;2006;441634672196.523
CHN;China;2006;2752131773355.16
DEU;Germany;2006;2994703642023.53
EGY;Egypt, Arab Rep;2006;107426086956.522
ESP;Spain;2006;1260398977831.76
FRA;France;2006;2320536221304.7
GBR;United Kingdom;2006;2709911683532.66
IDN;Indonesia;2006;364570514304.85
IND;India;2006;940259888792.141
IRN;Iran, Islamic Rep;2006;266298911661.144
ITA;Italy;2006;1949551719389.64
JPN;Japan;2006;4601663122649.92
KOR;Korea, Rep;2006;1053216909887.56
MEX;Mexico;2006;975387131716.089
MYS;Malaysia;2006;162691238209.476
NLD;Netherlands;2006;733955269898.823
PHL;Philippines;2006;127652859201.041
RUS;Russian Federation;2006;989930542278.6948
SAU;Saudi Arabia;2006;376900135727.637
SGP;Singapore;2006;148630373214.173
THA;Thailand;2006;221758196504.936
TUR;Turkey;2006;557057829051.453
USA;United States;2006;13815586948000.0
VNM;Vietnam;2006;66371664817.0436
ZAF;South Africa;2006;303860874149.007
ARE;United Arab Emirates;2007;257916133424.098
ARG;Argentina;2007;287530508430.568
AUS;Australia;2007;854427259166.209
BRA;Brazil;2007;1397084349956.35
CAN;Canada;2007;1468820407783.26
CHE;Switzerland;2007;490740715594.802
CHN;China;2007;3550342737010.84
DEU;Germany;2007;3425578382921.58
EGY;Egypt, Arab Rep;2007;130437828371.278
ESP;Spain;2007;1474002579820.0
FRA;France;2007;2660591246211.77
GBR;United Kingdom;2007;3092821128451.38
IDN;Indonesia;2007;432216737774.861
IND;India;2007;1216735441524.86
IRN;Iran, Islamic Rep;2007;349881601458.56
ITA;Italy;2007;2213102482751.46
JPN;Japan;2007;4579750920354.81
KOR;Korea, Rep;2007;1172614086539.86
MEX;Mexico;2007;1052696282278.87
MYS;Malaysia;2007;193547824063.3
NLD;Netherlands;2007;848558887541.179
PHL;Philippines;2007;155980378253.634
RUS;Russian Federation;2007;1299705764823.62
SAU;Saudi Arabia;2007;415964583055.37
SGP;Singapore;2007;180941941477.009
THA;Thailand;2007;262942476722.425
TUR;Turkey;2007;681337335021.874
USA;United States;2007;14474226905000.0
VNM;Vietnam;2007;77414425532.2452
ZAF;South Africa;2007;333075462599.71
ARE;United Arab Emirates;2008;315474615738.598
ARG;Argentina;2008;361558037110.419
AUS;Australia;2008;1055642793196.06
BRA;Brazil;2008;1695824565928.67
CAN;Canada;2008;1552989690721.65
CHE;Switzerland;2008;567267767519.158
CHN;China;2008;4594307032660.79
DEU;Germany;2008;3745264093617.19
EGY;Egypt, Arab Rep;2008;162818181818.182
ESP;Spain;2008;1631863493552.34
FRA;France;2008;2930303780828.12
GBR;United Kingdom;2008;2931501838235.29
IDN;Indonesia;2008;510228634992.258
IND;India;2008;1198895582137.51
IRN;Iran, Islamic Rep;2008;412336172446.849
ITA;Italy;2008;2408655348718.59
JPN;Japan;2008;5106679115127.3
KOR;Korea, Rep;2008;1047339010225.25
MEX;Mexico;2008;1109989063586.62
MYS;Malaysia;2008;230813897715.69
NLD;Netherlands;2008;951869997864.062
PHL;Philippines;2008;181624577154.679
RUS;Russian Federation;2008;1660846387624.78
SAU;Saudi Arabia;2008;519796738640.0
SGP;Singapore;2008;193611986712.842
THA;Thailand;2008;291382991177.698
TUR;Turkey;2008;770462156204.38
USA;United States;2008;14769857911000.0
VNM;Vietnam;2008;99130304099.1274
ZAF;South Africa;2008;316132138757.081
ARE;United Arab Emirates;2009;253547358747.447
ARG;Argentina;2009;332976484577.619
AUS;Australia;2009;928626859078.192
BRA;Brazil;2009;1667019783635.09
CAN;Canada;2009;1374625142157.29
CHE;Switzerland;2009;554212916092.271
CHN;China;2009;5101703073086.04
DEU;Germany;2009;3411261212652.34
EGY;Egypt, Arab Rep;2009;189147005444.646
ESP;Spain;2009;1491472923706.64
FRA;France;2009;2700887366932.03
GBR;United Kingdom;2009;2417638261411.43
IDN;Indonesia;2009;539580085612.401
IND;India;2009;1341886602798.69
IRN;Iran, Islamic Rep;2009;416397025729.361
ITA;Italy;2009;2199928804118.63
JPN;Japan;2009;5289493117993.89
KOR;Korea, Rep;2009;943941876218.743
MEX;Mexico;2009;900045350649.351
MYS;Malaysia;2009;202257625195.063
NLD;Netherlands;2009;871518638049.218
PHL;Philippines;2009;175974711592.145
RUS;Russian Federation;2009;1222644282201.86
SAU;Saudi Arabia;2009;429097899280.0
SGP;Singapore;2009;194152286008.938
THA;Thailand;2009;281710416557.292
TUR;Turkey;2009;649272568774.193
USA;United States;2009;14478064934000.0
VNM;Vietnam;2009;106014659770.222
ZAF;South Africa;2009;329753048857.052
ARE;United Arab Emirates;2010;289787452661.675
ARG;Argentina;2010;423627422092.49
AUS;Australia;2010;1148610059015.24
BRA;Brazil;2010;2208871646202.82
CAN;Canada;2010;1617343367486.26
CHE;Switzerland;2010;598851028906.58
CHN;China;2010;6087163874512.21
DEU;Germany;2010;3399667820000.01
EGY;Egypt, Arab Rep;2010;218983666061.706
ESP;Spain;2010;1422108199783.34
FRA;France;2010;2645187882116.67
GBR;United Kingdom;2010;2491397494467.95
IDN;Indonesia;2010;755094160363.071
IND;India;2010;1675615335600.56
IRN;Iran, Islamic Rep;2010;486807615326.147
ITA;Italy;2010;2136099955236.67
JPN;Japan;2010;5759071769013.11
KOR;Korea, Rep;2010;1144066965324.49
MEX;Mexico;2010;1057801295584.05
MYS;Malaysia;2010;255016609232.871
NLD;Netherlands;2010;847380859016.668
PHL;Philippines;2010;208368726861.407
RUS;Russian Federation;2010;1524917468442.01
SAU;Saudi Arabia;2010;528207332649.536
SGP;Singapore;2010;239809387605.427
THA;Thailand;2010;341104820155.464
TUR;Turkey;2010;776992599946.766
USA;United States;2010;15048964444000.0
VNM;Vietnam;2010;147201163802.554
ZAF;South Africa;2010;417365076968.257
ARE;United Arab Emirates;2011;350666058379.85
ARG;Argentina;2011;530163281574.658
AUS;Australia;2011;1398405797101.45
BRA;Brazil;2011;2616201578192.25
CAN;Canada;2011;1793326630174.52
CHE;Switzerland;2011;715888126682.396
CHN;China;2011;7551500124203.36
DEU;Germany;2011;3749314991050.59
EGY;Egypt, Arab Rep;2011;235989672977.625
ESP;Spain;2011;1480710495710.12
FRA;France;2011;2865157541994.17
GBR;United Kingdom;2011;2666403005061.42
IDN;Indonesia;2011;892969107923.094
IND;India;2011;1823049927772.05
IRN;Iran, Islamic Rep;2011;626133114526.806
ITA;Italy;2011;2294994296589.5
JPN;Japan;2011;6233147172341.35
KOR;Korea, Rep;2011;1253223044718.99
MEX;Mexico;2011;1180489601957.61
MYS;Malaysia;2011;297951960784.314
NLD;Netherlands;2011;905270626332.687
PHL;Philippines;2011;234216930369.796
RUS;Russian Federation;2011;2045925608274.37
SAU;Saudi Arabia;2011;671238840108.229
SGP;Singapore;2011;279351168707.267
THA;Thailand;2011;370819140946.553
TUR;Turkey;2011;838762755164.179
USA;United States;2011;15599728123000.0
VNM;Vietnam;2011;172595034069.162
ZAF;South Africa;2011;458201514136.977
ARE;United Arab Emirates;2012;384610125384.033
ARG;Argentina;2012;545982375701.128
AUS;Australia;2012;1546892142709.84
BRA;Brazil;2012;2465188674415.03
CAN;Canada;2012;1828366481521.6
CHE;Switzerland;2012;686420221557.99
CHN;China;2012;8532229986993.65
DEU;Germany;2012;3527143188785.16
EGY;Egypt, Arab Rep;2012;279116666666.667
ESP;Spain;2012;1324750738725.0
FRA;France;2012;2683671716967.19
GBR;United Kingdom;2012;2706340967030.68
IDN;Indonesia;2012;917869910105.749
IND;India;2012;1827637859506.25
IRN;Iran, Islamic Rep;2012;644035510447.901
ITA;Italy;2012;2086957656821.6
JPN;Japan;2012;6272362996105.03
KOR;Korea, Rep;2012;1278427634342.59
MEX;Mexico;2012;1201089987015.45
MYS;Malaysia;2012;314443149443.149
NLD;Netherlands;2012;838923319919.531
PHL;Philippines;2012;261920509950.555
RUS;Russian Federation;2012;2208295773643.15
SAU;Saudi Arabia;2012;735974843348.664
SGP;Singapore;2012;295087220933.024
THA;Thailand;2012;397558222957.17
TUR;Turkey;2012;880556375779.51
USA;United States;2012;16253972230000.0
VNM;Vietnam;2012;195590647205.685
ZAF;South Africa;2012;434400545085.811
ARE;United Arab Emirates;2013;400218529747.597
ARG;Argentina;2013;552025140252.246
AUS;Australia;2013;1576380424746.08
BRA;Brazil;2013;2472806919901.67
CAN;Canada;2013;1846597421834.98
CHE;Switzerland;2013;706234937370.968
CHN;China;2013;9570406235659.64
DEU;Germany;2013;3733804649549.03
EGY;Egypt, Arab Rep;2013;288434108527.132
ESP;Spain;2013;1355579535912.55
FRA;France;2013;2811876903329.03
GBR;United Kingdom;2013;2786315215249.95
IDN;Indonesia;2013;912524136718.018
IND;India;2013;1856722121394.42
IRN;Iran, Islamic Rep;2013;492775565649.562
ITA;Italy;2013;2141924094298.56
JPN;Japan;2013;5212328181166.18
KOR;Korea, Rep;2013;1370795199976.18
MEX;Mexico;2013;1274443084716.57
MYS;Malaysia;2013;323277158906.979
NLD;Netherlands;2013;877172824534.512
PHL;Philippines;2013;283902728260.716
RUS;Russian Federation;2013;2292473246621.08
SAU;Saudi Arabia;2013;746647127407.619
SGP;Singapore;2013;307576360584.992
THA;Thailand;2013;420333203150.426
TUR;Turkey;2013;957783020853.031
USA;United States;2013;16843190993000.0
VNM;Vietnam;2013;213708830436.648
ZAF;South Africa;2013;400886013595.573
ARE;United Arab Emirates;2014;414105366758.911
ARG;Argentina;2014;526319673731.638
AUS;Australia;2014;1467545212521.8
BRA;Brazil;2014;2455993625159.37
CAN;Canada;2014;1805749878439.94
CHE;Switzerland;2014;726537808338.0
CHN;China;2014;10475682920594.5
DEU;Germany;2014;3889093051023.52
EGY;Egypt, Arab Rep;2014;305595408895.265
ESP;Spain;2014;1371820537888.62
FRA;France;2014;2855964488590.19
GBR;United Kingdom;2014;3065223279583.79
IDN;Indonesia;2014;890814755233.225
IND;India;2014;2039127446299.3
IRN;Iran, Islamic Rep;2014;460382791826.34
ITA;Italy;2014;2162009615996.54
JPN;Japan;2014;4896994405353.29
KOR;Korea, Rep;2014;1484318219633.63
MEX;Mexico;2014;1315351183524.54
MYS;Malaysia;2014;338061963396.376
NLD;Netherlands;2014;892167986713.722
PHL;Philippines;2014;297483247101.038
RUS;Russian Federation;2014;2059241965490.83
SAU;Saudi Arabia;2014;756350347320.381
SGP;Singapore;2014;314851156183.411
THA;Thailand;2014;407339454060.678
TUR;Turkey;2014;938952628604.067
USA;United States;2014;17550680174000.0
VNM;Vietnam;2014;233451484773.974
ZAF;South Africa;2014;381198869776.106
ARE;United Arab Emirates;2015;370275469560.166
ARG;Argentina;2015;594749285413.212
AUS;Australia;2015;1350615691821.28
BRA;Brazil;2015;1802214373741.32
CAN;Canada;2015;1556508816217.14
CHE;Switzerland;2015;694118186379.628
CHN;China;2015;11061553079876.4
DEU;Germany;2015;3357585719351.56
EGY;Egypt, Arab Rep;2015;329366576819.407
ESP;Spain;2015;1196156971279.69
