Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,,,,,,,,9.81000042,22.96999931,18.44000053,19.01000023,18.44000053,17.29999924,16.18000031,17.5,18.26000023,17.62000084,17.70000076,13.21000004,12.19999981,12.18000031,
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,12.98999977,17.23999977,19.07999992,14.86999989,13.78999996,14.35000038,12.40999985,12.60999966,12.77999973,12.96000004,13.10999966,13.28999996,13.38000011,,,,5.110000134,,,,,,,,,,5.050000191,,,,,9.979999542,,,,,9.199999809,,,,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,20.45999908,19.45999908,19.45000076,20.69000053,,,,,,,,,,,,,,,6,,,,,,,,,,8.420000076,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,6.260000229,6.110000134,5.78000021,7.159999847,9.960000038,8.989999771,8.260000229,8.079999924,8.109999657,7.230000019,6.179999828,6.929999828,9.579999924,10.72999954,10.86999989,9.720000267,8.470000267,8.510000229,8.359999657,7.679999828,6.869999886,6.28000021,6.739999771,6.369999886,5.929999828,5.389999866,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038,5.119999886
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,2.799999952,2.400000095,1.5,1.299999952,1.200000048,1.299999952,2,2,1.799999952,2.099999905,2,1.899999976,2.059999943,3.349999905,4.110000134,3.799999952,3.599999905,3.119999886,3.789999962,3.549999952,3.140000105,3.25,3.420000076,3.589999914,4.25,3.539999962,4.349999905,5.28000021,5.150000095,5.519999981,4.699999809,4.690000057,4.010000229,4.849999905,4.78000021,5.96999979,5.679999828,5.320000172,4.909999847,4.199999809,5.369999886,4.880000114,4.639999866,4.909999847,5.369999886,5.670000076,5.800000191,6.059999943,5.559999943,4.929999828,4.559999943,5.199999809,6.460000038
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109999999,0.170000002,0.519999981,0.649999976,0.800000012,0.899999976,1.029999971,1.129999995,16.25,11.77999973,10.90999985,10.03999996,9.170000076,7.989999771,7.260000229,6.619999886,6.329999924,5.860000134,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,4.960000038,4.940000057,4.849999905,7.159999847,5.949999809
Burundi,BDI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479999989,,,,,,,,,14,,,,,,,3.180000067,,1.629999995,,,,,,1.570000052,,,,,,1.029999971,
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,2.099999905,2.700000048,2.799999952,3,5.099999905,6.5,5.670000076,7.900000095,6.960000038,9.100000381,11.35000038,13,11.65999985,11.88000011,11.31999969,11.27999973,11.26000023,10.13000011,8.279999733,7.25,6.980000019,6.699999809,8.079999924,9.649999619,9.340000153,9.479999542,8.949999809,9.319999695,8.649999619,6.590000153,6.179999828,6.909999847,7.679999828,7.360000134,8.43999958,8.25,7.460000038,6.980000019,7.909999847,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191,6.260000229
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.180000007,,,,,,1.50999999,,,,,,,,,,0.689999998,,,,,,,,1.039999962,2.650000095,,,,,,,1.470000029,,,
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.299999952,,,,,,,,,2.579999924,,,,2.440000057,,,,,2.779999971,,4,,3.299999952,,,,,,,6.480000019,,,,4.690000057,,,
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.039999962,2.019999981,0.959999979,,,0.920000017,,2.200000048,,,,,2.50999999,,,,3.269999981,,,4.320000172,,4.25,3.589999914,,,5,3.380000114,,,4.429999828,,,4.349999905,4.369999886,,,,
Bulgaria,BGR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.700000048,11.10000038,15.30000019,16.39999962,12.80000019,11.10000038,12.5,13.69999981,12.19999981,14.10000038,16.21999931,19.92000008,18.11000061,13.72999954,12.03999996,10.07999992,8.949999809,6.880000114,5.610000134,6.820000172,10.27999973,11.26000023,12.27000046,12.93999958,11.42000008,9.140000343,7.570000172,6.159999847,5.210000038,4.230000019,5.119999886,5.269999981
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,3.099999905,,,,,,,,,,,,,,,,,,,,,,,,,,5.599999905,3.700000048,4,1.129999995,4,1.200000048,,,,,,,,,
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,8.600000381,,21.20000076,,20.86000061,,14.69999981,,,,,,,12.09000015,,11.02000046,11.59000015,7.769999981,12.17000008,14.81000042,12.72000027,13.82999992,10.82999992,11.46000004,9.760000229,7.650000095,7.449999809,,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.539999962,7.880000114,8.180000305,14.25,,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,9.800000191,10,,,
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.54999924,,,,,,,,,,16.10000038,,,,,31.11000061,28.97999954,23.40999985,24.06999969,27.30999947,27.57999992,28.01000023,27.48999977,27.52000046,27.69000053,25.40999985,20.53000069,18.39999962,15.68999958,15.86999989,14.89999962
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050000001,0.5,1.399999976,2.099999905,2.900000095,4,2.799999952,2.299999952,2.099999905,2.099999905,2.299999952,3,3.099999905,1.899999976,1.5,1.200000048,1,0.800000012,6.099999905,,0.600000024,0.5,0.5,0.5,1,5.840000153,5.650000095,4.760000229,4.159999847,4.050000191,3.900000095
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.779999733,11.10000038,12.47999954,13.81999969,12.68000031,14.31000042,12.84000015,,9.069999695,10.03999996,,,10.90999985,9.390000343,8.510000229,8.180000305,,,,,8.350000381,8.239999771,7.579999924,7,6.599999905,,9.050000191,,10.15999985
Bermuda,BMU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.710000038,,,,,,,,,4.480000019,6.489999771,,8.43999958,6.659999847,8.93999958,,,,,,,
Bolivia,BOL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,9,8.100000381,7.099999905,6.099999905,5.199999809,5.300000191,5.300000191,5.5,5.599999905,6.099999905,10.15999985,11.60000038,14.18999958,14.65999985,19.28000069,19.76000023,20.31999969,18,10.10000038,6.690000057,6.590000153,5.519999981,5.989999771,3.079999924,3.690000057,5.230000019,2.079999924,,3.930000067,4.46999979,5.239999771,5.480000019,,4.170000076,5.449999809,5.079999924,5.179999828,2.599999905,2.970000029,,2.25,2.069999933,2.440000057,2.019999981,3.109999895,3.5,3.650000095,3.519999981,3.680000067,7.900000095,5.090000153
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,3.059999943,2.779999971,,,1.919999957,2.319999933,2.359999895,2.75999999,,3.99000001,4.829999924,4.619999886,4.039999962,3.380000114,2.369999886,3.559999943,3.789999962,2.970000029,3.690000057,,6.420000076,6.03000021,,7.090000153,8.029999733,9,10.14999962,11.13000011,,10.64999962,10.64000034,11.17000008,10.06999969,10.55000019,9.68999958,9.279999733,8.270000458,9.420000076,,7.579999924,7.25,7.070000172,6.760000229,8.539999962,11.57999992,12.78999996,12.32999992,11.93999958,13.69999981,13.15999985
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,9.859999657,12.44999981,13.28999996,9.449999809,8.979999542,7.230000019,8.390000343,9.06000042,17.02000046,18.85000038,17.87999916,17.94000053,17.56999969,14.06000042,8.159999847,7.519999981,22.94000053,24.54000092,22.97999954,19.65999985,14.71000004,14.60999966,12.39999962,10.60999966,9.350000381,9.850000381,10.31999969,11,,,,,,10.02000046,10.68999958,11.18999958,11.59000015,11.55000019,12.17000008,9.800000191,8.25,8.619999886,8.319999695,8.409999847,,
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,8.25,7.849999905,8.06000042,8.699999809,10.03999996,7.670000076,7.840000153,6.550000191,6.039999962,,,,,,,,4.699999809,,,,,,,,,,,,,,,,,,,,,,,6.860000134,,,9.319999695,8.699999809,6.599999905,7.409999847,4.909999847
Bhutan,BTN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.399999976,1.399999976,,1.899999976,,1.799999952,2.49000001,3.099999905,3.130000114,3.700000048,,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,,,3.349999905,2.720000029,5.03000021,4.800000191
Botswana,BWA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,25.67000008,,,,,,13.81999969,,,21.20000076,,21.59000015,,20.86000061,,15.88000011,18.54000092,,23.79999924,,,17.78000069,,,16.17000008,17.86000061,,,,,,,,,20.09000015,21.02000046,
Central African Republic,CAF,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,4.699999809,5.900000095,6.400000095,6.300000191,5.599999905,5.400000095,,7.090000153,8.050000191,8.380000114,7.53000021,7.539999962,7.610000134,11.03999996,12.02000046,11.34000015,10.5,9.590000153,8.819999695,7.760000229,7.550000191,8.130000114,10.31999969,11.19999981,11.38000011,10.39999962,9.489999771,9.619999886,9.100000381,8.279999733,7.579999924,6.829999924,7.21999979,7.659999847,7.570000172,7.190000057,6.760000229,6.320000172,6.039999962,6.139999866,8.340000153,8.06000042,7.510000229,7.289999962,7.070000172,6.909999847,6.909999847,7,6.340000153,5.829999924,5.659999847,9.460000038,7.460000038
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45269631,12.22679779,11.23930542,10.63060441,10.21453258,9.162794543,8.953863271,10.41359707,12.44151271,13.25657726,13.77060023,13.11271401,12.89208458,12.0604306,10.10359915,7.810527743,6.607897157,8.489187892,9.90228107,9.789764727,9.97994492,10.0509873,8.864229909,7.819133087,6.490217031,5.297875369,4.317413804,3.781699521,4.370527981,4.487001305
Switzerland,CHE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,0.300000012,0.699999988,0.400000006,0.400000006,0.400000006,0.200000003,0.200000003,0.400000006,0.899999976,1.100000024,1,0.800000012,0.800000012,0.699999988,0.600000024,2.069999933,1.820000052,2.809999943,3.549999952,3.579999924,3.089999914,3.680000067,4.130000114,3.569999933,3.049999952,2.660000086,2.49000001,2.920000076,4.119999886,4.320000172,4.440000057,3.99000001,3.640000105,3.349999905,4.110000134,4.809999943,4.409999847,4.489999771,4.75,4.829999924,4.800000191,4.920000076,4.800000191,4.710000038,4.389999866,4.820000172,5.099999905
Channel Islands,CHI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,14.68999958,12.75,11.82999992,14.26000023,13.63000011,10.46000004,11.35000038,19.60000038,14.64999962,13.90999985,,8.710000038,,6.230000019,5.289999962,5.630000114,5.230000019,4.349999905,4.489999771,5.869999886,4.699999809,7.409999847,7.139999866,7.309999943,11.15999985,10.48999977,10.39000034,10.17000008,9.770000458,10.15999985,9.340000153,9.020000458,8.430000305,9.289999962,11.31000042,8.409999847,7.320000172,6.639999866,6.199999809,6.650000095,6.489999771,6.730000019,6.949999809,7.210000038,7.269999981,10.93999958,9.279999733
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,5.300000191,5.400000095,4.900000095,3.799999952,3.200000048,2.299999952,1.899999976,1.799999952,2,2,2,2.599999905,2.5,2.299999952,2.299999952,2.599999905,2.799999952,2.900000095,3,3.099999905,3.099999905,3.099999905,3.099999905,3.599999905,4,4.300000191,4.199999809,4.199999809,4.099999905,4,4.199999809,4.300000191,4.099999905,4.099999905,4.099999905,4.050000191,4.099999905,,,3.900000095,4.929999828,5.150000095,5.610000134,5.110000134
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.699999809,,,4.099999905,,,4.099999905,,,,,,,,,,,,,,7.21999979,4.25,,,1.899999976,3.269999981,,2.400000095,,
Cameroon,CMR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06000042,,,,,7.460000038,,,,4.400000095,,3.059999943,,,4.110000134,,,,3.529999971,,,,,,,
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.950000048,,,,,,,4.489999771,,,,,,,,1.470000029,
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79999924,,,,19.86000061,,,10,,,,,,,,,
Colombia,COL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,10.55000019,,9.399999619,,,9.100000381,8.130000114,11.46000004,11.13000011,13,13.89000034,12.93999958,10.82999992,,,,10.11999989,9.43999958,7.800000191,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,14.47999954,13.22000027,12.73999977,11.06000042,,10.25,10.52000046,11.31999969,11.14999962,10.28999996,9.960000038,9.25,8.800000191,8.569999695,8.920000076,9.090000153,9.359999657,10.27999973,15.56999969,13.89999962
Comoros,COM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.570000172,,,,,,,,,,8.140000343,,,,,,,
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,10.67000008,,,,,31.30999947,,12.23999977,12.17000008,11.28999996,,
Costa Rica,CRI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.510000229,5.369999886,3.930000067,3.950000048,4.050000191,5.179999828,6.159999847,5.679999828,5.329999924,5.900000095,5.079999924,5.920000076,6.329999924,6.559999943,6.389999866,6.570000172,5.739999771,4.489999771,4.78000021,7.710000038,7.170000076,9.520000458,9.109999657,8.220000267,8.5,8.420000076,8.090000153,7.730000019,9.010000229,10.81000042,16.43000031,15.14000034
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.69313096,15.72597123,16.5780708,17.1986259,16.22562307,15.7240055,15.30769016,15.09782329,14.27672431,14.01879969,,12.7692061,12.46209526,11.60089688,11.01424274,10.41999352,9.206885119,8.428594729,6.750654434,7.835797565,6.698609451,7.864969963,8.28668379,8.669308706,7.695800798,9.674158311,7.470089123,,,6.257304068,,
Cuba,CUB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.270000458,7.610000134,7.099999905,6.230000019,6.260000229,5.449999809,4.079999924,3.309999943,2.329999924,1.850000024,1.950000048,1.909999967,1.789999962,1.580000043,1.669999957,2.5,3.180000067,3.460000038,3.289999962,2.700000048,2.400000095,2,1.700000048,1.700000048,,,
Curacao,CUW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.779999733,,13.02999973,12.60999966,11.71000004,,,13.43000031,,19.06999969,
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.909999847,,7.21999979,5.739999771,4.940000057,5.099999905,4.139999866,4.170000076,,,7.539999962,5.369999886,3.609999895,3.450000048,3.539999962,2.619999886,3.829999924,3.970000029,6.039999962,6.679999828,6.78000021,6.210000038,6.269999981,4.699999809,4.239999771,,,,,,
Cyprus,CYP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,10.89999962,7.400000095,3.099999905,2,1.700000048,2,2.599999905,2.799999952,3.299999952,3.299999952,3.299999952,3.700000048,3.400000095,2.799999952,2.299999952,1.799999952,3,2.089999914,2.700000048,2.700000048,2.599999905,3.099999905,3.400000095,3.299999952,5.53000021,4.769999981,4.039999962,3.339999914,4.150000095,4.769999981,5.480000019,4.590000153,3.950000048,3.75999999,5.590000153,6.360000134,7.940000057,12.10000038,16.12999916,16.28000069,15.02999973,13.01000023,11.15999985,8.5,7.150000095,7.760000229,7.510000229
Czechia,CZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699999988,2.269999981,2.599999905,3.829999924,3.849999905,3.430000067,3.980000019,4.260000229,5.889999866,8.479999542,8.760000229,8.130000114,7.28000021,7.78000021,8.300000191,7.929999828,7.139999866,5.320000172,4.389999866,6.659999847,7.28000021,6.710000038,6.980000019,6.949999809,6.110000134,5.050000191,3.950000048,2.890000105,2.25,2.019999981,2.549999952,2.799999952
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,6.449999809,6.670000076,6.880000114,6.610000134,6.809999943,6.320000172,5.699999809,4.889999866,5.320000172,6.320000172,7.679999828,8.729999542,8.159999847,8.819999695,9.859999657,9.789999962,8.850000381,7.920000076,7.769999981,8.479999542,9.779999733,10.72999954,11.17000008,10.25,8.659999847,7.519999981,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.75,3.380000114,3.140000105,3.859999895,3.569999933
Djibouti,DJI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05999947,,,,
Dominica,DMA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32999992,,9.529999733,,,,,,23.18000031,,15.67000008,,10.96000004,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,0.899999976,2.099999905,5.099999905,5.300000191,6.400000095,7.300000191,6.099999905,7,9.199999809,10,9.739999771,8.869999886,7.800000191,6.03000021,6.090000153,6.489999771,8.149999619,8.340000153,9.100000381,9.029999733,10.72000027,8.039999962,6.989999771,6.840000153,5.400000095,5.039999962,5.139999866,4.480000019,4.159999847,4.269999981,5.400000095,5.199999809,4.829999924,3.900000095,3.799999952,3.680000067,6.409999847,7.75,7.769999981,7.800000191,7.380000114,6.929999828,6.28000021,5.989999771,5.829999924,5.130000114,5.019999981,5.639999866,5.059999943
